Oid,SheetName,ClassName,Name,Value,Units,
2442,Column,TraySection,ColumnSections(1).Trays(4).VaporToTrayMassFlow,0.768584941,kg/s,
2442,Column,TraySection,ColumnSections(1).Trays(4).VaporToTrayMolecularWeight,19.08498595,g/mol,
2442,Column,TraySection,ColumnSections(1).Trays(4).VaporToTrayPressure,167542.647,Pa,
2442,Column,TraySection,ColumnSections(1).Trays(4).VaporToTrayTemperature,389.007086,K,
2442,Column,TraySection,ColumnSections(1).Trays(5).LiquidFromTrayActualVolFlow,0.007498288,m^3/s,
2442,Column,TraySection,ColumnSections(1).Trays(5).LiquidFromTrayDensity,977.960575,kg/m^3,
2442,Column,TraySection,ColumnSections(1).Trays(5).LiquidFromTrayDynamicViscosity,0.000603031,(N/m^2).s,
2442,Column,TraySection,ColumnSections(1).Trays(5).LiquidFromTrayMassFlow,7.333030086,kg/s,
2442,Column,TraySection,ColumnSections(1).Trays(5).LiquidFromTrayMolecularWeight,27.56131926,g/mol,
2442,Column,TraySection,ColumnSections(1).Trays(5).LiquidFromTrayPressure,168232.123,Pa,
2442,Column,TraySection,ColumnSections(1).Trays(5).LiquidFromTraySurfacetension,0.038920683,N/m,
2442,Column,TraySection,ColumnSections(1).Trays(5).LiquidFromTrayTemperature,389.425534,K,
2442,Column,TraySection,ColumnSections(1).Trays(5).MaximumPressureDropPerTray,689.4759087,Pa,
2442,Column,TraySection,ColumnSections(1).Trays(5).TrayNumber,5,,
2442,Column,TraySection,ColumnSections(1).Trays(5).VaporToTrayActualVolFlow,0.777028853,m^3/s,
2442,Column,TraySection,ColumnSections(1).Trays(5).VaporToTrayDensity,0.990559135,kg/m^3,
2442,Column,TraySection,ColumnSections(1).Trays(5).VaporToTrayDynamicViscosity,1.36E-05,(N/m^2).s,
2442,Column,TraySection,ColumnSections(1).Trays(5).VaporToTrayMassFlow,0.769693028,kg/s,
2442,Column,TraySection,ColumnSections(1).Trays(5).VaporToTrayMolecularWeight,18.82778241,g/mol,
2442,Column,TraySection,ColumnSections(1).Trays(5).VaporToTrayPressure,168232.123,Pa,
2442,Column,TraySection,ColumnSections(1).Trays(5).VaporToTrayTemperature,389.482691,K,
2442,Column,TraySection,ColumnSections(1).Trays(6).LiquidFromTrayActualVolFlow,0.007506001,m^3/s,
2442,Column,TraySection,ColumnSections(1).Trays(6).LiquidFromTrayDensity,976.9903626,kg/m^3,
2442,Column,TraySection,ColumnSections(1).Trays(6).LiquidFromTrayDynamicViscosity,0.000594179,(N/m^2).s,
2442,Column,TraySection,ColumnSections(1).Trays(6).LiquidFromTrayMassFlow,7.333290324,kg/s,
2442,Column,TraySection,ColumnSections(1).Trays(6).LiquidFromTrayMolecularWeight,27.53355573,g/mol,
2442,Column,TraySection,ColumnSections(1).Trays(6).LiquidFromTrayPressure,168921.599,Pa,
2442,Column,TraySection,ColumnSections(1).Trays(6).LiquidFromTraySurfacetension,0.038800739,N/m,
2442,Column,TraySection,ColumnSections(1).Trays(6).LiquidFromTrayTemperature,389.781705,K,
2442,Column,TraySection,ColumnSections(1).Trays(6).MaximumPressureDropPerTray,689.4759087,Pa,
2442,Column,TraySection,ColumnSections(1).Trays(6).TrayNumber,6,,
2442,Column,TraySection,ColumnSections(1).Trays(6).VaporToTrayActualVolFlow,0.781866121,m^3/s,
2442,Column,TraySection,ColumnSections(1).Trays(6).VaporToTrayDensity,0.984863039,kg/m^3,
2442,Column,TraySection,ColumnSections(1).Trays(6).VaporToTrayDynamicViscosity,1.35E-05,(N/m^2).s,
2442,Column,TraySection,ColumnSections(1).Trays(6).VaporToTrayMassFlow,0.770031044,kg/s,
2442,Column,TraySection,ColumnSections(1).Trays(6).VaporToTrayMolecularWeight,18.65731846,g/mol,
2442,Column,TraySection,ColumnSections(1).Trays(6).VaporToTrayPressure,168921.599,Pa,
2442,Column,TraySection,ColumnSections(1).Trays(6).VaporToTrayTemperature,389.822858,K,
2442,Column,TraySection,ColumnSections(1).Trays(7).LiquidFromTrayActualVolFlow,0.007512044,m^3/s,
2442,Column,TraySection,ColumnSections(1).Trays(7).LiquidFromTrayDensity,976.2526826,kg/m^3,
2442,Column,TraySection,ColumnSections(1).Trays(7).LiquidFromTrayDynamicViscosity,0.00058734,(N/m^2).s,
2442,Column,TraySection,ColumnSections(1).Trays(7).LiquidFromTrayMassFlow,7.333653264,kg/s,
2442,Column,TraySection,ColumnSections(1).Trays(7).LiquidFromTrayMolecularWeight,27.51293868,g/mol,
2442,Column,TraySection,ColumnSections(1).Trays(7).LiquidFromTrayPressure,169611.075,Pa,
2442,Column,TraySection,ColumnSections(1).Trays(7).LiquidFromTraySurfacetension,0.038709862,N/m,
2442,Column,TraySection,ColumnSections(1).Trays(7).LiquidFromTrayTemperature,390.055503,K,
2442,Column,TraySection,ColumnSections(1).Trays(7).MaximumPressureDropPerTray,689.4759087,Pa,
2442,Column,TraySection,ColumnSections(1).Trays(7).TrayNumber,7,,
2442,Column,TraySection,ColumnSections(1).Trays(7).VaporToTrayActualVolFlow,0.784387738,m^3/s,
