Oid,SheetName,ClassName,Name,Value,Units
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid1MassEnthalpy,,J/kg
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid1MassEntropy,,J/(kg.K)
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid1MassFlow,,kg/s
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid1MassHeatCapacity,,J/(kg.K)
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid1MassHeatCapacityConstVol,,J/(kg.K)
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid1MolarDensity,,kmol/m^3
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid1MolarEnthalpy,,J/kmol
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid1MolarEntropy,,J/(kmol.K)
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid1MolarFlow,,kmol/s
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid1MolarFraction,,fraction
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid1MolarHeatCapacity,,J/(kmol.K)
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid1MolarHeatCapacityConstVol,,J/(kmol.K)
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid1MolecularWeight,,g/mol
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid1Pressure,,Pa
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid1SpecificGravityMole,,
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid1StandardVolumetricFlow,,m^3/s
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid1StdMassDensity,,kg/m^3
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid1SurfaceTension,,N/m
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid1Temperature,,K
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid1ThermalConductivity,,W/(m.K)
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid1Viscosity,,(N/m^2).s
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid1ViscosityKinematic,,m^2/s
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid1VolumetricFlow,,m^3/s
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid2AccentricFactor,,
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid2BubblePointPressure,,Pa
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid2BubblePointTemperature,,K
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid2Compressibility,,unitless
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid2CriticalPressure,,Pa
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid2CriticalTemperature,,K
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid2CriticalVolume,,m^3/kmol
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid2DewPointPressure,,Pa
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid2DewPointTemperature,,K
